nombre_ciudad
Aguascalientes
Ensenada
Mexicali
Tijuana
La Paz
Los Cabos
Campeche
Ciudad del carmen
Saltillo
Monclova-Frontera
La Laguna
Piedras Negras
Tecoman
Manzanillo
Tuxtla Gurierrez
Tapachula
Chihuahua
Juarez
Valle de Mexico
Durango
Celaya
Oaxaca
Cancun
Mazatlan
Hermosillo
Cardenas
Cordoba
Xalapa
Poza Rica
