id_año;AÑO
2001 - 2004;2001 - 2004
2007 - 2008;2007 - 2008
1970 - 2001;1970 - 2001
1995 - 2008;1995 - 2008
1997- 2005;1997- 2005
2005;2005
1998 - 2009;1998 - 2009
1978 - 2004;1978 - 2004
2004 - 2011;2004 - 2011
2000;2000
