id_motor;MOTOR
4 CIL;4 CIL
6 CIL;6 CIL
8 CIL;8 CIL
10 CIL;10 CIL
4-6 CIL;4-6 CIL
6-8 CIL;6-8 CIL
4CIL;4CIL
4-6CIL;4-6CIL
3-4 CIL;3-4 CIL
TODOS;TODOS
1.1, PRIME;1.1, PRIME
1.8;1.8
1.6;1.6
2.0;2.0
2.0, 2.4;2.0, 2.4
1.4, 1.6;1.4, 1.6
1.5, DIESEL;1.5, DIESEL
2.4, 2.5;2.4, 2.5
2.5, 2.7;2.5, 2.7
2.7;2.7
1.6, 2.0;1.6, 2.0
2.4, 2.7 (4X4);2.4, 2.7 (4X4)
1.8, 2.0, 2.4;1.8, 2.0, 2.4
2.9, 3.5;2.9, 3.5
3.0, 3.8;3.0, 3.8
N/D;N/D
5 CIL;5 CIL
4-5 CIL;4-5 CIL
